time,θ1,ω1,θ2,ω2
0.0,1.5707963267948966,0.0,1.5707963267948966,0.0
0.007275656680833747,1.5705366797404345,-0.07137418867071599,1.570796326787848,-5.774165328566658e-9
0.015636561604210016,1.5695970445990386,-0.15339451490066086,1.570796326104782,-2.6474854539109804e-7
0.02605543329902453,1.567466401521109,-0.2556018167229476,1.5707963120249602,-3.401042873850399e-6
0.037834752198958176,1.5637750546949973,-0.3711461115741611,1.5707961883406365,-2.1955768889308677e-5
0.05119972651152748,1.557938796901539,-0.5022112051799028,1.5707954766050651,-9.962128923323541e-5
0.06582630948343454,1.5495446957062438,-0.6455520539520344,1.5707924880663615,-0.0003497949701377655
0.08175793046672963,1.53801776004576,-0.8014428397105627,1.5707822432787382,-0.0010328452623257272
0.09903376309586809,1.522715543924433,-0.969953339364686,1.5707518924506432,-0.002688121250062637
0.11836438465299379,1.5021520221799778,-1.15734574564857,1.5706670998517704,-0.006531113988864709
0.14138890742380786,1.4729592629564812,-1.3778346616680415,1.5704226313114675,-0.015762936841445127
0.1593716806320813,1.446657042411858,-1.5468691550161717,1.5700340670114588,-0.028422410005716072
0.17786442033754643,1.4164748231193895,-1.716545866881607,1.5693349674644406,-0.048576053353674445
0.1949310396009132,1.385877206852236,-1.8682392127591927,1.5682882854512887,-0.07560208859022888
0.211721520048475,1.353295065810363,-2.0117443280226164,1.5667278600992542,-0.11206241683898788
0.2279858275747894,1.319488353775147,-2.1442739985353243,1.564543377179383,-0.15853643010825308
0.24414003928511402,1.2838345445026615,-2.2686204328784245,1.5615261118994614,-0.2172338829129912
0.26032749041285885,1.2461573989413253,-2.3850538573853144,1.5574399435060686,-0.2900740799862507
0.2768947419314407,1.2057198634088426,-2.4949437510385546,1.551908396666313,-0.38045834319508653
0.29424060092247767,1.161522306784376,-2.599193082316063,1.5443575583635112,-0.4933491942411003
0.3129870012112926,1.111842216679792,-2.698699879793822,1.533796633856936,-0.6371922912744996
0.33266691410590127,1.0578293296961898,-2.7877538462909697,1.5195685545783804,-0.8129906288027574
0.3519236959357286,1.0034345216401792,-2.8589921496663764,1.5020602043538265,-1.009391744210635
0.37172048324356244,0.9462504577417615,-2.915171581968965,1.4798774994045276,-1.235678485662445
0.39210489089182554,0.8863960055300166,-2.9541261634185454,1.452105134988909,-1.4931961885891092
0.4137433378249519,0.8222231655355862,-2.973328010347196,1.4166088162602992,-1.7918024807247022
0.43519462017246396,0.7584506475309312,-2.9683446913782836,1.3747869964090051,-2.1110726687919246
0.45530914551388724,0.6989859609242581,-2.9403742644068984,1.329153767300221,-2.4290707734820502
0.47459863238757366,0.6427080731398239,-2.8908946113522904,1.2792365616676522,-2.748736098445332
0.49291187135437564,0.5903626288733401,-2.8221594223379736,1.2260306427535628,-3.063607540580933
0.5103891006186599,0.5417630578765406,-2.735890579229811,1.1697967850763589,-3.37276970956863
0.5270289791887873,0.4970556044806607,-2.6344876275006954,1.111179589927323,-3.673547384599385
0.5428986319006837,0.4561314692824471,-2.520207577847455,1.0505743097051043,-3.9649743220718556
0.5580372296793097,0.4189033803558376,-2.395623969719829,0.9884263510398097,-4.245929780983791
0.5725065303250657,0.38518304726022284,-2.263272775646187,0.9250384911391779,-4.515884150758538
0.5863747770145709,0.35473821535891437,-2.1257246414896933,0.8606170552444006,-4.774430063118808
0.5997368227302503,0.32726469926801466,-1.9853860561129062,0.79516690701735,-5.021464906111894
0.6127272333885896,0.30238645638015044,-1.8443927507720397,0.728398581482657,-5.257183759292353
0.625567517728688,0.2796049735956306,-1.7042854920473933,0.6594379445834111,-5.482496403836251
0.6387140244124884,0.25812253859661016,-1.5650802121009455,0.5859122315991515,-5.7004636668051205
0.6525970632904463,0.2373518223838833,-1.429879327742692,0.5052913449637644,-5.909499415500866
0.6641624755645599,0.22139217591582983,-1.3329175015221124,0.43604951611466525,-6.060354987667283
0.6752371745264087,0.20705922675134936,-1.259012514151609,0.3682503279991867,-6.178934020914314
0.6855540289675955,0.1943361124849926,-1.211146892579607,0.3040507676116514,-6.261853453359665
0.6956660967326719,0.18223052735043357,-1.1871310997582407,0.24044269807062907,-6.313665951081978
0.7058512154244154,0.17015687751794295,-1.1880179023346304,0.17600637550854206,-6.333887599105035
0.7165600292420742,0.15730507906244423,-1.2169910040745713,0.10822255593353065,-6.319465633910008
0.7262622969994975,0.14527071730913366,-1.2674606484528372,0.04709987781969937,-6.275420379721408
0.735678796482617,0.13302405016048433,-1.336812235209521,-0.011686603540223836,-6.206287898433577
0.7448033561173281,0.12045417943128237,-1.4209262226996202,-0.067924201778462,-6.116906643996781
0.7539252174030387,0.10705473794775996,-1.5190619007242785,-0.12323990436943201,-6.008282778688962
0.7631782931672867,0.09249270574871345,-1.6301354034132802,-0.17825965180099781,-5.881360328718281
0.7728279961229833,0.07616501013152631,-1.7552786158710276,-0.2343137462936779,-5.734151725156761
0.7832382586115787,0.05715671827954595,-1.8975334343164898,-0.29312100956288706,-5.561695924940883
0.7949907138655155,0.03388631231863356,-2.063107712633991,-0.3572749516807253,-5.353813576334189
0.8061590481905946,0.009958272648737542,-2.221837327275407,-0.4159177922806462,-5.146442104422674
0.8173757424982507,-0.01585167453461218,-2.3797769821185772,-0.4724411493173862,-4.930948139531035
0.8285512705549476,-0.04331014752917465,-2.5335030070335387,-0.5263213411922258,-4.710797515732665
0.8398517936167337,-0.07279379306945682,-2.683585152126665,-0.5782777228748539,-4.483985571104722
0.8512777662542473,-0.10429165828020939,-2.828575772283764,-0.6281855790964294,-4.251406602326448
